formula,MASS_MEAN,MASS_STD,MASS_MIN,ATOMIC_RADII_MEAN,ATOMIC_RADII_STD,ATOMIC_RADII_MAX,ELECTRON_NEG_MEAN,ELECTRON_NEG_MIN,IONIZATION_ENERGIES_MEAN,IONIZATION_ENERGIES_STD,IONIZATION_ENERGIES_MIN,ELECTRON_AFFINITIES_MEAN,ELECTRON_AFFINITIES_STD,ELECTRON_AFFINITIES_MIN,IONIC_RADII_MEAN,IONIC_RADII_STD,IONIC_RADII_MIN,VALENCE_MEAN,VALENCE_STD,VALENCE_MIN,VALENCE_MODE,SHELL_STD,SHELL_MAX,SHELL_MODE,S_E_MEAN,S_E_STD,S_E_MAX,P_E_MEAN,P_E_MIN,BLOCK_MEAN,BLOCK_STD,BLOCK_MAX,S_UNFILLED_MEAN,S_UNFILLED_STD,S_UNFILLED_MODE,P_UNFILLED_MEAN,P_UNFILLED_STD,P_UNFILLED_MIN,P_UNFILLED_MODE,D_UNFILLED_MEAN,D_UNFILLED_STD,D_UNFILLED_MIN,D_UNFILLED_MODE,MAX_OXIDATION_STATE_MEAN,MAX_OXIDATION_STATE_STD,MAX_OXIDATION_STATE_MAX,MAX_OXIDATION_STATE_MIN,MELTING_POINT_MEAN,MELTING_POINT_STD,MELTING_POINT_MAX,MENDELEEV_NO_MEAN,MENDELEEV_NO_MAX,MENDELEEV_NO_MODE,MOLAR_VOLUME_MIN,MOLAR_VOLUME_MODE,BOILING_POINT_RANGE,ELEMENT_NUM,L2_NORM,N_ATOMS,SPACE_GROUP,GAMMA,A,C,VOLUME_PER_ATOM,DENSITY,DISTANCE_STD,DISTANCE_MAX,ees_kappa,B
Ag2Bi2Ca2_186.vasp,118.97553,69.39997,40.078,1.6666666,0.09428087,1.8,1.65,1.0,16.686373,3.924378,11.871719,0.7571287,0.53869206,0.024551,1.0872222,0.042867877,1.035,2.0,0.8164966,1.0,1.0,0.8164966,6.0,4.0,1.6666666,0.47140452,2.0,1.0,0.0,1.0,0.8164966,2.0,0.33333334,0.47140452,0.0,1.0,1.4142135,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333,1.2472192,5.0,2.0,964.7767,301.2565,1234.93,58.0,87.0,16.0,10.27,10.27,678.0,3.0,0.57735026,6.0,186.0,120.0,4.853583,7.859049,26.722317,7.3932033,0.113601565,3.1531143,5.819810906345936,48.511
Ag2Cl6K2_161.vasp,50.6651,28.636375,35.453,1.36,0.48000005,2.2,2.4459999,0.82,24.910065,3.4765494,21.4844,2.5288215,1.3515745,0.5014591,0.9893333,0.29070336,0.78,3.4,1.9595919,1.0,5.0,0.8,5.0,3.0,1.6,0.48989797,2.0,3.0,0.0,1.0,0.6324555,2.0,0.4,0.489898,0.0,0.6,0.48989797,0.0,1.0,0.0,0.0,0.0,0.0,5.0,2.529822,7.0,1.0,417.25204,413.799,1234.93,75.6,99.0,99.0,10.27,17.39,2195.89,3.0,0.66332495,10.0,161.0,61.042576,7.071672,7.071672,25.593481,3.287219,0.2977434,3.28183,5.352088347457014,38.613
Ag2In2S4_122.vasp,71.70405,39.715134,32.065,1.2875,0.28804296,1.6,2.2175,1.78,21.757643,1.8306463,18.87041,1.4606521,0.69709367,0.383926,0.94666666,0.08445908,0.88,2.5,1.5,1.0,1.0,1.0,5.0,3.0,1.75,0.4330127,2.0,2.25,0.0,1.25,0.4330127,2.0,0.25,0.4330127,0.0,2.25,1.7853571,0.0,2.0,0.0,0.0,0.0,0.0,4.5,1.5,6.0,3.0,610.35,360.99713,1234.93,84.5,94.0,94.0,10.27,15.53,1717.13,3.0,0.61237246,8.0,122.0,89.999985,5.8739104,7.05094,24.573547,4.8453474,0.03336532,2.5574067,9.253646385352958,62.339
Ag4Mg2_63.vasp,80.0138,39.39207,24.305,1.5666666,0.047140464,1.6,1.7233334,1.31,19.334688,3.040149,15.035271,0.72964865,0.81292444,-0.42,1.0111111,0.1068517,0.86,1.3333334,0.47140452,1.0,1.0,0.942809,5.0,5.0,1.3333334,0.47140452,2.0,0.0,0.0,1.3333334,0.942809,2.0,0.6666667,0.4714045,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6666667,0.4714045,3.0,2.0,1130.9535,147.04524,1234.93,71.666664,73.0,71.0,10.27,10.27,1072.0,2.0,0.74535596,6.0,63.0,121.72797,5.0963364,4.795129,17.654985,7.5256953,2.3075551e-15,2.8422205,11.251921076873892,83.383
Ag5Mg_189.vasp,93.941,31.142166,24.305,1.5833334,0.037267808,1.6,1.8266667,1.31,20.409544,2.4034486,15.035271,1.0170609,0.6426732,-0.42,1.0488888,0.08447369,0.86,1.1666666,0.372678,1.0,1.0,0.74535596,5.0,5.0,1.1666666,0.372678,2.0,0.0,0.0,1.6666666,0.745356,2.0,0.8333333,0.372678,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8333333,0.37267798,3.0,2.0,1182.9418,116.249466,1234.93,71.333336,73.0,71.0,10.27,10.27,1072.0,2.0,0.8498366,6.0,189.0,90.0,5.0310607,5.0310616,17.433422,8.94791,6.243445e-05,2.9046812,12.408654170387685,94.873
Ag6Ga2_194.vasp,98.3319,16.517357,69.723,1.5250001,0.12990384,1.6,1.8999999,1.81,21.242085,0.41970155,20.51514,1.053655,0.4344295,0.3012011,1.005,0.14145084,0.76,1.0,0.0,1.0,1.0,0.4330127,5.0,5.0,1.25,0.4330127,2.0,0.25,0.0,1.75,0.4330127,2.0,0.75,0.4330127,1.0,1.25,2.1650636,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,1001.92505,403.5765,1234.93,73.5,81.0,71.0,10.27,10.27,42.0,2.0,0.7905694,8.0,194.0,119.99999,5.7863836,4.67428,16.942202,9.637706,6.910457e-08,2.8655734,11.78489058201248,100.392
AgBr6Rb2Ta_225.vasp,93.917564,30.149582,79.904,1.4649999,0.46693146,2.35,2.2829998,0.82,22.180948,3.0089958,16.2,2.2780957,1.3514234,0.32312,1.0521666,0.3109236,0.82,3.6,1.8000001,1.0,5.0,0.67082036,6.0,4.0,1.7,0.45825756,2.0,3.0,0.0,1.0,0.6324555,2.0,0.3,0.45825756,0.0,0.6,0.48989797,0.0,1.0,0.7,2.1000001,0.0,0.0,5.2,2.4413111,7.0,1.0,674.46497,917.56647,3290.0,72.9,98.0,98.0,10.27,19.78,5399.0,4.0,0.6480741,10.0,225.0,60.0,7.7793627,7.7793627,33.29025,4.684669,0.4935734,3.8912318,3.1237244848817065,28.56
AgCu4Zr_216.vasp,75.54603,17.637669,63.546,1.4250001,0.10704359,1.6,1.8100001,1.33,19.297327,2.7922456,13.13,1.1134831,0.3052243,0.433289,0.8711111,0.097499624,0.82,1.1666666,0.372678,1.0,1.0,0.47140452,5.0,4.0,1.1666666,0.372678,2.0,0.0,0.0,2.0,0.0,2.0,0.8333333,0.372678,1.0,0.0,0.0,0.0,0.0,1.3333334,2.981424,0.0,0.0,3.8333333,0.37267798,4.0,3.0,1465.6683,299.58072,2128.0,68.0,72.0,72.0,7.11,7.11,2247.0,3.0,0.70710677,6.0,216.0,60.0,4.9000387,4.9000387,13.865397,9.047497,0.20398438,2.873956,23.612129978935023,154.826
AgCuGa2Se4_82.vasp,78.337524,12.454016,63.546,1.26875,0.1477699,1.6,2.20625,1.81,20.948883,0.40900654,20.29239,1.4031347,0.7063402,0.3012011,0.935,0.12350214,0.76,2.5,1.5,1.0,1.0,0.3307189,5.0,4.0,1.75,0.4330127,2.0,2.25,0.0,1.25,0.4330127,2.0,0.25,0.4330127,0.0,2.25,1.7853571,0.0,2.0,0.0,0.0,0.0,0.0,4.625,1.4086784,6.0,3.0,646.81506,384.26672,1357.77,84.625,93.0,93.0,7.11,16.42,2242.0,4.0,0.586302,8.0,82.0,72.56911,6.977278,6.977278,23.97311,5.4261847,0.059878983,2.633666,7.807905574792,57.92
AgF6Rb2Ru_225.vasp,49.38642,37.730137,18.998404,1.0600001,0.745587,2.35,2.965,0.82,30.264837,6.4035816,16.76,2.3729827,1.2793311,0.4859162,0.92976665,0.38294318,0.661,3.3,2.1,0.0,5.0,1.4696939,5.0,2.0,1.6,0.48989797,2.0,3.0,0.0,1.0,0.6324555,2.0,0.4,0.489898,0.0,0.6,0.48989797,0.0,1.0,0.3,0.90000004,0.0,0.0,0.7,2.758623,8.0,-1.0,478.80298,790.0274,2607.0,76.3,102.0,102.0,8.17,11.2,4337.97,4.0,0.6480741,10.0,225.0,60.0,6.2941723,6.2941723,17.631973,4.6511006,0.44278663,3.1528523,7.755895582886661,60.566
