formula,MASS_MEAN,MASS_STD,MASS_MIN,ATOMIC_RADII_MEAN,ATOMIC_RADII_STD,ATOMIC_RADII_MAX,ELECTRON_NEG_MEAN,ELECTRON_NEG_MIN,IONIZATION_ENERGIES_MEAN,IONIZATION_ENERGIES_STD,IONIZATION_ENERGIES_MIN,ELECTRON_AFFINITIES_MEAN,ELECTRON_AFFINITIES_STD,ELECTRON_AFFINITIES_MIN,IONIC_RADII_MEAN,IONIC_RADII_STD,IONIC_RADII_MIN,VALENCE_MEAN,VALENCE_STD,VALENCE_MIN,VALENCE_MODE,SHELL_STD,SHELL_MAX,SHELL_MODE,S_E_MEAN,S_E_STD,S_E_MAX,P_E_MEAN,P_E_MIN,BLOCK_MEAN,BLOCK_STD,BLOCK_MAX,S_UNFILLED_MEAN,S_UNFILLED_STD,S_UNFILLED_MODE,P_UNFILLED_MEAN,P_UNFILLED_STD,P_UNFILLED_MIN,P_UNFILLED_MODE,D_UNFILLED_MEAN,D_UNFILLED_STD,D_UNFILLED_MIN,D_UNFILLED_MODE,MAX_OXIDATION_STATE_MEAN,MAX_OXIDATION_STATE_STD,MAX_OXIDATION_STATE_MAX,MAX_OXIDATION_STATE_MIN,MELTING_POINT_MEAN,MELTING_POINT_STD,MELTING_POINT_MAX,MENDELEEV_NO_MEAN,MENDELEEV_NO_MAX,MENDELEEV_NO_MODE,MOLAR_VOLUME_MIN,MOLAR_VOLUME_MODE,BOILING_POINT_RANGE,ELEMENT_NUM,L2_NORM,N_ATOMS,SPACE_GROUP,GAMMA,A,C,VOLUME_PER_ATOM,DENSITY,DISTANCE_STD,DISTANCE_MAX
Ag2Al2O4_194.vasp,41.712135,38.45746,15.9994,1.0125,0.4306608,1.6,2.605,1.61,27.638798,7.541011,18.82855,1.1648797,0.42745614,0.432835,1.0704167,0.23900945,0.675,2.5,1.5,1.0,1.0,1.2247449,5.0,2.0,1.75,0.4330127,2.0,2.25,0.0,1.25,0.4330127,2.0,0.25,0.4330127,0.0,2.25,1.7853571,0.0,2.0,0.0,0.0,0.0,0.0,2.5,0.5,3.0,2.0,569.5,525.6195,1234.93,88.25,101.0,101.0,10.0,17.36,2701.8,3.0,0.61237246,8.0,194.0,120.0,2.877865,12.249308,10.98229,6.306938,0.08379043,2.1090715
Ag2Al2S4_122.vasp,49.744934,33.621593,26.981539,1.2125,0.24590395,1.6,2.175,1.61,21.747177,1.8471668,18.82855,1.4728793,0.6782752,0.432835,0.8804167,0.14554675,0.675,2.5,1.5,1.0,1.0,0.8660254,5.0,3.0,1.75,0.4330127,2.0,2.25,0.0,1.25,0.4330127,2.0,0.25,0.4330127,0.0,2.25,1.7853571,0.0,2.0,0.0,0.0,0.0,0.0,4.5,1.5,6.0,3.0,736.27997,363.87924,1234.93,84.75,94.0,94.0,10.0,15.53,2074.13,3.0,0.61237246,8.0,122.0,90.0,5.7024937,6.588433,21.17924,3.9002066,0.1317895,2.5614407
Ag2Al2Se4_122.vasp,73.19244,29.173555,26.981539,1.2874999,0.18498313,1.6,2.1599998,1.61,20.676237,1.0732403,18.82855,1.4446293,0.65323555,0.432835,0.94708335,0.1599148,0.675,2.5,1.5,1.0,1.0,0.70710677,5.0,4.0,1.75,0.4330127,2.0,2.25,0.0,1.25,0.4330127,2.0,0.25,0.4330127,0.0,2.25,1.7853571,0.0,2.0,0.0,0.0,0.0,0.0,4.5,1.5,6.0,3.0,789.1,313.7575,1234.93,84.25,93.0,93.0,10.0,16.42,1834.0,3.0,0.61237246,8.0,122.0,90.000015,5.975206,6.9442844,24.595137,4.9415827,0.11449032,2.66078
Ag2Al2Te4_122.vasp,97.512436,41.51016,26.981539,1.4124999,0.12437344,1.6,1.935,1.61,19.378239,1.2195678,18.6,1.4197649,0.63142085,0.432835,1.0870833,0.25243363,0.675,2.5,1.5,1.0,1.0,0.8660254,5.0,5.0,1.75,0.4330127,2.0,2.25,0.0,1.25,0.4330127,2.0,0.25,0.4330127,0.0,2.25,1.7853571,0.0,2.0,0.0,0.0,0.0,0.0,4.5,1.5,6.0,3.0,903.42993,209.8513,1234.93,83.75,92.0,92.0,10.0,20.46,1531.0,3.0,0.61237246,8.0,122.0,90.00001,6.351813,7.554261,30.632597,5.2859774,0.06844886,2.7921653
Ag2AlInS4_82.vasp,60.724495,38.39795,26.981539,1.25,0.27041635,1.6,2.19625,1.61,21.752409,1.8389325,18.82855,1.4667656,0.68777597,0.383926,0.9135417,0.12351462,0.675,2.5,1.5,1.0,1.0,0.96824586,5.0,3.0,1.75,0.4330127,2.0,2.25,0.0,1.25,0.4330127,2.0,0.25,0.4330127,0.0,2.25,1.7853571,0.0,2.0,0.0,0.0,0.0,0.0,4.5,1.5,6.0,3.0,673.315,367.8697,1234.93,84.625,94.0,94.0,10.0,15.53,2074.13,4.0,0.586302,8.0,82.0,73.85982,6.876861,6.876861,23.462452,4.2977347,0.13494594,2.5910647
Ag2AlInSe4_82.vasp,84.172,26.080658,26.981539,1.325,0.20310098,1.6,2.18125,1.61,20.681469,1.0642837,18.82855,1.4385157,0.66283464,0.383926,0.98020834,0.12340211,0.675,2.5,1.5,1.0,1.0,0.6614378,5.0,4.0,1.75,0.4330127,2.0,2.25,0.0,1.25,0.4330127,2.0,0.25,0.4330127,0.0,2.25,1.7853571,0.0,2.0,0.0,0.0,0.0,0.0,4.5,1.5,6.0,3.0,726.135,328.65698,1234.93,84.125,93.0,93.0,10.0,16.42,1834.0,4.0,0.586302,8.0,82.0,73.41803,7.23776,7.23776,27.151606,5.1477942,0.11696332,2.6895664
Ag2AlLi_225.vasp,62.414734,46.002396,6.941,1.475,0.14361407,1.6,1.6125,0.98,34.359364,23.858095,18.82855,0.9149575,0.39498144,0.432835,0.93708336,0.1694205,0.675,1.0,0.0,1.0,1.0,1.299038,5.0,5.0,1.25,0.4330127,2.0,0.25,0.0,1.25,0.8291562,2.0,0.75,0.4330127,1.0,1.25,2.1650636,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.8660254,3.0,1.0,964.255,319.43478,1234.93,58.5,80.0,71.0,10.0,10.27,1177.0,3.0,0.61237246,4.0,225.0,60.00001,4.439986,4.4399853,15.472833,6.698328,3.8459253000000004e-16,2.7189248
Ag2AlMg_225.vasp,66.75574,41.123356,24.305,1.4875,0.14306904,1.6,1.6949999,1.31,19.208155,2.641952,15.035271,0.6554453,0.71564865,-0.42,0.9270834,0.1724673,0.675,1.25,0.4330127,1.0,1.0,1.0,5.0,3.0,1.5,0.5,2.0,0.25,0.0,1.25,0.8291562,2.0,0.5,0.5,0.0,1.25,2.1650636,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.4330127,3.0,2.0,1081.5825,153.39221,1234.93,73.75,80.0,71.0,10.0,10.27,1429.0,3.0,0.61237246,4.0,225.0,60.0,4.5639253,4.5639253,16.805082,6.596249,3.7264394e-06,2.7948184
Ag2AlSc_225.vasp,71.918465,36.507103,26.981539,1.5124999,0.15155447,1.6,1.7075,1.36,18.64928,3.5469956,12.79977,0.80749524,0.50444794,0.1882,0.9333333,0.17036319,0.675,1.0,0.0,1.0,1.0,0.8291562,5.0,5.0,1.5,0.5,2.0,0.25,0.0,1.75,0.4330127,2.0,0.5,0.5,0.0,1.25,2.1650636,0.0,0.0,2.25,3.8971143,0.0,0.0,3.0,0.0,3.0,3.0,1304.3325,318.95663,1814.0,60.25,80.0,71.0,10.0,10.27,668.0,3.0,0.61237246,4.0,225.0,60.000004,4.6393533,4.6393538,17.652143,6.765378,2.220446e-16,2.8410118
Ag2AlY_225.vasp,82.905945,33.203037,26.981539,1.5625,0.19803724,1.8,1.6724999,1.22,18.505238,3.7853107,12.2236,0.8372253,0.469357,0.30712,0.97208333,0.17257598,0.675,1.0,0.0,1.0,1.0,0.8660254,5.0,5.0,1.5,0.5,2.0,0.25,0.0,1.75,0.4330127,2.0,0.5,0.5,0.0,1.25,2.1650636,0.0,0.0,2.25,3.8971143,0.0,0.0,3.0,0.0,3.0,3.0,1300.5825,312.9745,1799.0,61.75,80.0,71.0,10.0,10.27,1174.0,3.0,0.61237246,4.0,225.0,60.0,4.8060145,4.8060145,19.623672,7.0154333,0.0,2.9430592
Ag2As2Ba2_194.vasp,106.705605,25.490156,74.9216,1.6333332,0.4089282,2.15,1.6666666,0.89,16.692474,4.875043,10.003826,0.75130635,0.47501513,0.144626,1.0788888,0.3388907,0.66,2.0,0.8164966,1.0,1.0,0.8164966,6.0,4.0,1.6666666,0.47140452,2.0,1.0,0.0,1.0,0.8164966,2.0,0.33333334,0.47140452,0.0,1.0,1.4142135,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333,1.2472192,5.0,2.0,1108.31,96.77973,1234.93,58.0,89.0,14.0,10.27,10.27,1548.0,3.0,0.57735026,6.0,194.0,120.000015,4.6320934,9.0749035,28.104496,6.304643,0.3925313,3.5070212
